GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,infrastructure.http.dto,UrlResponseDto,27,0,0,0,10,0,5,0,5,0
my-app,infrastructure.http.dto,LoginDtos,17,0,0,0,5,0,5,0,5,0
my-app,infrastructure.http.dto,UrlRequestDto,10,0,0,0,3,0,3,0,3,0
my-app,infrastructure.http.dto,LoginRequestDto,17,0,0,0,5,0,5,0,5,0
my-app,infrastructure.http.dto,LoginResponseDto,9,0,0,0,4,0,2,0,2,0
my-app,default,Application,428,0,27,0,120,0,28,0,12,0
my-app,infrastructure.security.Auth.dto,AuthResponseDTO,3,0,0,0,1,0,1,0,1,0
my-app,infrastructure.security.Auth.dto,RegisterRequestDTO,3,0,0,0,1,0,1,0,1,0
my-app,infrastructure.security.Auth.dto,LoginRequestDTO,3,0,0,0,1,0,1,0,1,0
my-app,domain.services,FinalGradeCalculator,0,94,1,13,0,21,1,9,0,3
my-app,domain.services,UrlService,6,74,1,1,1,21,1,7,0,7
my-app,domain.services,AuthService,0,31,0,2,0,8,0,4,0,3
my-app,infrastructure.http,UrlController,62,0,0,0,20,0,5,0,5,0
my-app,infrastructure.http,AuthController,44,0,0,0,12,0,2,0,2,0
my-app,domain.models,Url,3,30,0,0,1,11,1,5,1,5
my-app,domain.models,User,3,24,0,0,1,9,1,4,1,4
my-app,domain.models,StudentRecord,18,42,1,1,6,14,5,5,4,5
my-app,domain.models,Evaluation,3,18,0,0,1,7,1,3,1,3
my-app,domain.models,GradeBreakdown,0,33,0,0,0,12,0,6,0,6
my-app,domain.models,AcademicYearPolicy,7,12,0,0,3,5,2,2,2,2
my-app,infrastructure.repositories,InMemoryUserRepository,30,0,0,0,6,0,2,0,2,0
my-app,infrastructure.repositories,InMemoryUrlRepository,0,72,1,3,0,17,1,8,0,7
my-app,infrastructure.security,SecurityConfig,170,0,0,0,32,0,9,0,9,0
my-app,infrastructure.security,JwtAuthenticationFilter,72,0,10,0,19,0,7,0,2,0
my-app,infrastructure.security,JwtService,1,96,2,2,0,24,2,10,0,10
my-app,infrastructure.security.Auth,AuthServiceImpl,3,0,0,0,1,0,1,0,1,0
my-app,infrastructure.security.Auth,AuthControllerImpl,3,0,0,0,1,0,1,0,1,0
